v (/Vop /Vom); ac dB20(V) (L0=1.5e-10) X,v (/Vop /Vom); ac dB20(V) (L0=1.5e-10) Y,v (/Vop /Vom); ac dB20(V) (L0=1.625e-10) X,v (/Vop /Vom); ac dB20(V) (L0=1.625e-10) Y,v (/Vop /Vom); ac dB20(V) (L0=1.75e-10) X,v (/Vop /Vom); ac dB20(V) (L0=1.75e-10) Y,v (/Vop /Vom); ac dB20(V) (L0=1.82e-10) X,v (/Vop /Vom); ac dB20(V) (L0=1.82e-10) Y,v (/Vop /Vom); ac dB20(V) (L0=1.875e-10) X,v (/Vop /Vom); ac dB20(V) (L0=1.875e-10) Y,v (/Vop /Vom); ac dB20(V) (L0=2e-10) X,v (/Vop /Vom); ac dB20(V) (L0=2e-10) Y
20000000000,-75.50565687119699,20000000000,-74.57470931576422,20000000000,-73.71297042789439,20000000000,-73.25926772487021,20000000000,-72.9169633331371,20000000000,-72.18460523190838
20400000000,-75.23445904801292,20400000000,-74.29366450476489,20400000000,-73.42462437362738,20400000000,-72.96816585907619,20400000000,-72.62445284927301,20400000000,-71.89162829674024
20800000000,-74.96229133807932,20800000000,-74.01198645071391,20800000000,-73.13641271014225,20800000000,-72.67784998434888,20800000000,-72.33336294478302,20800000000,-71.60193870969104
21200000000,-74.68908727562295,21200000000,-73.72977012802183,21200000000,-72.84866682582233,21200000000,-72.38881920634628,21200000000,-72.04434208096063,21200000000,-71.31657563180704
21600000000,-74.41483712186565,21600000000,-73.44720038136049,21600000000,-72.56185154240035,21600000000,-72.10173384117294,21600000000,-71.75822248653947,21600000000,-71.03681057938627
22000000000,-74.13959721070785,22000000000,-73.16456664965342,22000000000,-72.2765852614166,22000000000,-71.81743774982053,22000000000,-71.47604328610652,22000000000,-70.76416738090842
22400000000,-73.86350101675339,22400000000,-72.88227984319175,22400000000,-71.99366187553724,22400000000,-71.53698150704938,22400000000,-71.1990732251637,22400000000,-70.50043693141201
22800000000,-73.58677212015745,22800000000,-72.60089135229363,22800000000,-71.71407378808743,22800000000,-71.26164512854282,22800000000,-70.92883109430812,22800000000,-70.24768319541634
23200000000,-73.30973921630344,23200000000,-72.32111400286664,23200000000,-71.43903495475385,23200000000,-70.99295846706762,23200000000,-70.66710121476461,23200000000,-70.00823616739005
23600000000,-73.03285322515018,23600000000,-72.04384447722876,23600000000,-71.17000223817749,23600000000,-70.73271659296392,23600000000,-70.41594048600228,23600000000,-69.78466696990908
24000000000,-72.75670646477032,24000000000,-71.77018638196299,24000000000,-70.90869268543889,24000000000,-70.48298668381914,24000000000,-70.17767275180431,24000000000,-69.57974039665407
24400000000,-72.48205364427048,24400000000,-71.50147260738336,24400000000,-70.65709349268674,24400000000,-70.24610214431357,24400000000,-69.95486569000983,24400000000,-69.39634118410217
24800000000,-72.20983416582322,24800000000,-71.23928499457494,24800000000,-70.4174606278397,24800000000,-70.02463916637404,24800000000,-69.75028545330078,24800000000,-69.23737254748256
25200000000,-71.94119483502665,25200000000,-70.9854685632105,25200000000,-70.19230145757075,25200000000,-69.82137097612913,25200000000,-69.56682521706873,25200000000,-69.10562912796669
25600000000,-71.67751155774341,25600000000,-70.74213673289773,25600000000,-69.98433654170074,25600000000,-69.63919593927456,25600000000,-69.40740590472078,25600000000,-69.00365120077713
26000000000,-71.42040794725173,26000000000,-70.51166322666715,26000000000,-69.79643636822699,26000000000,-69.48103785242103,26000000000,-69.27485087362581,26000000000,-68.93357204340774
26400000000,-71.17176802832631,26400000000,-70.29665592137833,26400000000,-69.63153056949855,26400000000,-69.3497202916827,26400000000,-69.17174101208079,26400000000,-68.89697454811736
